Column,graph_id,aufb_typ,aufb_quelle,aufb_letzte_akt,aufb_bezeichnung,aufb_normalform,aufb_normalform_id,graph_auftraggeber_anzahl
87,orig_lobbyregister_2022-05-16_#0014273,lobbyregister_client,lobbyregister,2022-05-16,APK AG,APK AG,norm_lobbyregister_eintrag_2022-09-19_#0001189,
88,orig_lobbyregister_2022-07-01_#0014274,lobbyregister_client,lobbyregister,2022-07-01,Apple Inc.,Apple Inc.,norm_lobbyregister_eintrag_2022-09-19_#0001201,
89,orig_lobbyregister_2022-08-31_#0014275,lobbyregister_client,lobbyregister,2022-08-31,Aprovis Energy Systems,Aprovis Energy Systems,norm_lobbyregister_eintrag_2022-09-19_#0001203,
90,orig_lobbyregister_2022-05-29_#0014276,lobbyregister_client,lobbyregister,2022-05-29,AquaVentus Förderverein e.V.,AquaVentus Förderverein e.V.,norm_lobbyregister_eintrag_2022-09-19_#0001219,
91,orig_lobbyregister_2022-06-15_#0014277,lobbyregister_client,lobbyregister,2022-06-15,ARAG SE,ARAG SE,norm_lobbyregister_eintrag_2022-09-19_#0001229,
92,orig_lobbyregister_2022-09-14_#0014278,lobbyregister_client,lobbyregister,2022-09-14,Arbeitgeber- und Wirtschaftsverband der Mobilitäts- und Verkehrsdienstleister e.V. (AGV MOVE),Arbeitgeber- und Wirtschaftsverband der Mobilitäts- und Verkehrsdienstleister e.V. (AGV MOVE),norm_lobbyregister_eintrag_2022-09-19_#0001247,
93,orig_lobbyregister_2022-09-15_#0014279,lobbyregister_client,lobbyregister,2022-09-15,Arcadis Nederland B.V.,Arcadis Nederland B.V.,norm_lobbyregister_eintrag_2022-09-19_#0001575,
94,orig_lobbyregister_2022-06-02_#0014280,lobbyregister_client,lobbyregister,2022-06-02,ARCANUM Energy Systems GmbH & Co. KG,ARCANUM Energy Systems GmbH & Co. KG,norm_lobbyregister_eintrag_2022-09-19_#0001576,
95,orig_lobbyregister_2022-03-01_#0014281,lobbyregister_client,lobbyregister,2022-03-01,Ardagh Metal Beverage Holdings Germany,Ardagh Metal Beverage Holdings Germany,norm_lobbyregister_eintrag_2022-09-19_#0001587,
96,orig_lobbyregister_2022-02-23_#0014282,lobbyregister_client,lobbyregister,2022-02-23,Ardagh Metal Beverage Trading Germany GmbH,Ardagh Metal Beverage Trading Germany GmbH,norm_lobbyregister_eintrag_2022-09-19_#0001588,
97,orig_lobbyregister_2022-06-23_#0014283,lobbyregister_client,lobbyregister,2022-06-23,ARGE AGDW/FABLF,ARGE AGDW/FABLF,norm_lobbyregister_eintrag_2022-09-19_#0001599,
98,orig_lobbyregister_2022-06-29_#0014284,lobbyregister_client,lobbyregister,2022-06-29,Argo AI GmbH,Argo AI GmbH,norm_lobbyregister_eintrag_2022-09-19_#0001615,
99,orig_lobbyregister_2022-02-28_#0014285,lobbyregister_client,lobbyregister,2022-02-28,Arla Foods Deutschland GmbH,Arla Foods Deutschland GmbH,norm_lobbyregister_eintrag_2022-09-19_#0001619,
100,orig_lobbyregister_2022-06-02_#0014286,lobbyregister_client,lobbyregister,2022-06-02,Arup Deutschland GmbH,Arup Deutschland GmbH,norm_lobbyregister_eintrag_2022-09-19_#0001641,
101,orig_lobbyregister_2022-04-25_#0014287,lobbyregister_client,lobbyregister,2022-04-25,Asetek,Asetek,norm_lobbyregister_eintrag_2022-09-19_#0001679,
102,orig_lobbyregister_2022-05-17_#0014288,lobbyregister_client,lobbyregister,2022-05-17,ASG - Anerkannte Schulgesellschaft mbH,ASG - Anerkannte Schulgesellschaft mbH,norm_lobbyregister_eintrag_2022-09-19_#0001681,
103,orig_lobbyregister_2022-04-05_#0014289,lobbyregister_client,lobbyregister,2022-04-05,Asklepios Kliniken,Asklepios Kliniken,norm_lobbyregister_eintrag_2022-09-19_#0001711,
104,orig_lobbyregister_2022-09-07_#0014290,lobbyregister_client,lobbyregister,2022-09-07,Asklepios Kliniken GmbH & Co. KGaA,Asklepios Kliniken GmbH & Co. KGaA,norm_lobbyregister_eintrag_2022-09-19_#0001713,
105,orig_lobbyregister_2022-08-31_#0014291,lobbyregister_client,lobbyregister,2022-08-31,ASL Agrarservice Lass GmbH,ASL Agrarservice Lass GmbH,norm_lobbyregister_eintrag_2022-09-19_#0001751,
106,orig_lobbyregister_2022-09-13_#0014292,lobbyregister_client,lobbyregister,2022-09-13,Association des Amis du Fonds Mondial Europe,Association des Amis du Fonds Mondial Europe,norm_lobbyregister_eintrag_2022-09-19_#0001771,
