graph_id,aufb_typ,aufb_quelle,aufb_letzte_akt,aufb_bezeichnung,aufb_normalform,aufb_normalform_id,graph_mitgliedschaften_anzahl
"""""",lobbyregister_membership,lobbyregister,2022-03-24,AAV Verband für Flächenrecycling und Altlastensanierung e.V.,AAV Verband für Flächenrecycling und Altlastensanierung e.V.,norm_lobbyregister_eintrag_2022-09-19_#0000181,
"""""",lobbyregister_membership,lobbyregister,2022-02-28,ABA - Arbeitsgemeinschaft (Arbeitsgemeinschaft für Betriebliche Altersversorgung e.V.),aba Arbeitsgemeinschaft für betriebliche Altersversorgung e.V.,norm_lobbyregister_eintrag_2022-09-19_#0000183,
"""""",lobbyregister_membership,lobbyregister,2022-03-04,aba - Arbeitsgemeinschaft für betriebliche Altersversorgung e. V,Arbeitsgemeinschaft für betriebliche Altersversorgung e. V. (aba),norm_lobbyregister_eintrag_2022-09-19_#0001415,
"""""",lobbyregister_membership,lobbyregister,2022-07-22,aba Arbeitsgemeinschaft für betriebliche Altersversorgung e.V.,aba Arbeitsgemeinschaft für betriebliche Altersversorgung e.V.,norm_lobbyregister_eintrag_2022-09-19_#0000183,
"""""",lobbyregister_membership,lobbyregister,2022-08-31,aba Arbeitsgemeinschaft für betriebliche Altersversorgung e. V.,Arbeitsgemeinschaft für betriebliche Altersversorgung e. V. (aba),norm_lobbyregister_eintrag_2022-09-19_#0001415,
"""""",lobbyregister_membership,lobbyregister,2022-06-17,aba - Arbeitsgemeinschaft für betriebliche Altersversorgung e.V.,aba Arbeitsgemeinschaft für betriebliche Altersversorgung e.V.,norm_lobbyregister_eintrag_2022-09-19_#0000183,
"""""",lobbyregister_membership,lobbyregister,2022-03-03,aba Arbeitsgemeinschaft für betriebliche Altersvorsorge,aba Arbeitsgemeinschaft für betriebliche Altersvorsorge,norm_lobbyregister_eintrag_2022-09-19_#0000184,
"""""",lobbyregister_membership,lobbyregister,2022-06-30,aba Arbeitsgemeinschaft für betriebliche Altersvorsorge e.V.,aba Arbeitsgemeinschaft für betriebliche Altersvorsorge e.V.,norm_lobbyregister_eintrag_2022-09-19_#0000185,
"""""",lobbyregister_membership,lobbyregister,2022-08-08,aba Arbeitsgemeinschaft für betriebliche Altersvorsorge e. V.,aba Arbeitsgemeinschaft für betriebliche Altersvorsorge e. V.,norm_lobbyregister_eintrag_2022-09-19_#0000186,
"""""",lobbyregister_membership,lobbyregister,2022-08-02,ABB e. V. - Arbeitskreis für Begabtenforschung und Förderung,ABB e. V. - Arbeitskreis für Begabtenforschung und Förderung,norm_lobbyregister_eintrag_2022-09-19_#0000190,
"""""",lobbyregister_membership,lobbyregister,2022-03-24,Abbruchverband Nord e.V.,Abbruchverband Nord e.V.,norm_lobbyregister_eintrag_2022-09-19_#0000193,
"""""",lobbyregister_membership,lobbyregister,2022-03-22,ABDA,ABDA,norm_lobbyregister_eintrag_2022-09-19_#0000197,
"""""",lobbyregister_membership,lobbyregister,2022-02-24,ABDA Bundesvereinigung Deutscher Apothekerverbände,ABDA Bundesvereinigung Deutscher Apothekerverbände,norm_lobbyregister_eintrag_2022-09-19_#0000198,
"""""",lobbyregister_membership,lobbyregister,2022-07-01,ABDA Bundesvereinigung Deutscher Apothekerverbände e. V.,ABDA Bundesvereinigung Deutscher Apothekerverbände e. V.,norm_lobbyregister_eintrag_2022-09-19_#0000199,
"""""",lobbyregister_membership,lobbyregister,2022-05-16,ABDA - Bundesvereinigung Deutscher Apothekerverbände e.V.,ABDA - Bundesvereinigung Deutscher Apothekerverbände e.V.,norm_lobbyregister_eintrag_2022-09-19_#0000200,
"""""",lobbyregister_membership,lobbyregister,2022-08-05,ABDA - Bundesvereinigung Deutscher Apothekerverbände e. V.,ABDA - Bundesvereinigung Deutscher Apothekerverbände e. V.,norm_lobbyregister_eintrag_2022-09-19_#0000201,
"""""",lobbyregister_membership,lobbyregister,2022-03-28,ABDA-Bundesvereinigung deutscher Apothekerverbände e.V.,ABDA-Bundesvereinigung deutscher Apothekerverbände e.V.,norm_lobbyregister_eintrag_2022-09-19_#0000202,
"""""",lobbyregister_membership,lobbyregister,2022-02-23,Abfallwirtschaft und Kulturbau - (BWK) e.V.,Abfallwirtschaft und Kulturbau - (BWK) e.V.,norm_lobbyregister_eintrag_2022-09-19_#0000209,
"""""",lobbyregister_membership,lobbyregister,2022-05-18,ABGD - Brazilian Association for Distributed Generation,ABGD - Brazilian Association for Distributed Generation,norm_lobbyregister_eintrag_2022-09-19_#0000210,
"""""",lobbyregister_membership,lobbyregister,2022-08-16,ABNB - Aktionsbündnis für nachhaltige Bananen,ABNB - Aktionsbündnis für nachhaltige Bananen,norm_lobbyregister_eintrag_2022-09-19_#0000214,
"""""",lobbyregister_membership,lobbyregister,2022-07-13,ABNR,ABNR,norm_lobbyregister_eintrag_2022-09-19_#0000215,
