graph_id,aufb_bezeichnung,aufb_quelle,aufb_datum
"""""",aba Arbeitsgemeinschaft für betriebliche Altersversorgung e.V.,lobbyregister_eintrag,2022-09-19
"""""",aba Arbeitsgemeinschaft für betriebliche Altersvorsorge,lobbyregister_eintrag,2022-09-19
"""""",aba Arbeitsgemeinschaft für betriebliche Altersvorsorge e.V.,lobbyregister_eintrag,2022-09-19
"""""",aba Arbeitsgemeinschaft für betriebliche Altersvorsorge e. V.,lobbyregister_eintrag,2022-09-19
"""""",ABB AG,lobbyregister_eintrag,2022-09-19
"""""",ABB Asea Brown Boveri AG,lobbypedia_parteispenden,2022-09-19
"""""",ABB Asea Brown Boveri Ltd.,lobbyregister_eintrag,2022-09-19
"""""",ABB e. V. - Arbeitskreis für Begabtenforschung und Förderung,lobbyregister_eintrag,2022-09-19
"""""",ABBM - Arbeitsgemeinschaft Bayerischer Bergbau- und Mineralgewinnungsbetriebe e.V.,lobbyregister_eintrag,2022-09-19
"""""",Abbott Laboratories Deutschland GmbH,lobbyregister_eintrag,2022-09-19
"""""",Abbruchverband Nord e.V.,lobbyregister_eintrag,2022-09-19
"""""",Abbvie,lobbyregister_eintrag,2022-09-19
"""""",AbbVie Deutschland GmbH & Co. KG,lobbyregister_eintrag,2022-09-19
"""""",Abcdruck GmbH,lobbypedia_parteispenden,2022-09-19
"""""",ABDA,lobbyregister_eintrag,2022-09-19
"""""",ABDA Bundesvereinigung Deutscher Apothekerverbände,lobbyregister_eintrag,2022-09-19
"""""",ABDA Bundesvereinigung Deutscher Apothekerverbände e. V.,lobbyregister_eintrag,2022-09-19
"""""",ABDA - Bundesvereinigung Deutscher Apothekerverbände e.V.,lobbyregister_eintrag,2022-09-19
"""""",ABDA - Bundesvereinigung Deutscher Apothekerverbände e. V.,lobbyregister_eintrag,2022-09-19
"""""",ABDA-Bundesvereinigung deutscher Apothekerverbände e.V.,lobbyregister_eintrag,2022-09-19
"""""",Abeking & Rasmussen Schiffs- und Yachtwerft SE,lobbyregister_eintrag,2022-09-19
"""""",ABEKING & RASMUSSEN Schiffs- und Yachtwerft SE,lobbyregister_eintrag,2022-09-19
"""""",Abels & Grey GmbH,lobbypedia_parteispenden,2022-09-19
"""""",AB Energy Deutschland GmbH,lobbyregister_eintrag,2022-09-19
"""""",Abfallwirtschaftsgesellschaft des Neckar-Odenwald-Kreises mbH (AWN),a_watch_organisation,2022-09-19
"""""",Abfall Wirtschaftsgesellschaft Kreis Plön mbH,a_watch_organisation,2022-09-19
"""""",Abfallwirtschaft und Kulturbau - (BWK) e.V.,lobbyregister_eintrag,2022-09-19
"""""",ABGD - Brazilian Association for Distributed Generation,lobbyregister_eintrag,2022-09-19
"""""",AbilityWatch e.V.,lobbyregister_eintrag,2022-09-19
"""""",AbL - Arbeitsgemeinschaft bäuerliche Landwirtschaft e.V.,a_watch_organisation,2022-09-19
"""""",AB Management & Beteiligungsgesellschaft mbH & Co.KG,lobbypedia_parteispenden,2022-09-19
"""""",ABNB - Aktionsbündnis für nachhaltige Bananen,lobbyregister_eintrag,2022-09-19
"""""",ABNR,lobbyregister_eintrag,2022-09-19
"""""",ABNR e.V. Aktionsbündnis Nichtrauchen,lobbyregister_eintrag,2022-09-19
"""""",Abolition 2000,lobbyregister_eintrag,2022-09-19
"""""",about:change e.V. / Adopt a Revolution,lobbyregister_eintrag,2022-09-19
"""""",Absatzförderungsfonds der deutschen Land- und Ernährungswirtschaft,a_watch_organisation,2022-09-19
"""""",ABSOLAR - Brazilian Association for Solar PV,lobbyregister_eintrag,2022-09-19
"""""",Abu Dhabi Chamber,lobbyregister_eintrag,2022-09-19
"""""",ABV - Arbeitsgemeinschaft berufsständischer Versorgungseinrichtungen e. V.,lobbyregister_eintrag,2022-09-19
"""""",Abwasser GmbH,a_watch_organisation,2022-09-19
"""""",Abwasser und Abfall e.V,lobbyregister_eintrag,2022-09-19
"""""",Abwasser und Abfall e.V.,lobbyregister_eintrag,2022-09-19
"""""",Abwasser und Abfall e. V.,lobbyregister_eintrag,2022-09-19
"""""",Abwasser und Abfall e.V. (DVGW),lobbyregister_eintrag,2022-09-19
"""""",Abwasser und Abfall e.V. (DWA),lobbyregister_eintrag,2022-09-19
"""""",Abwasser und Abfall e. V. (DWA),lobbyregister_eintrag,2022-09-19
"""""",Abwasser und Abfall e.V. Dresden,lobbyregister_eintrag,2022-09-19
"""""",Abwasser und Abfall e.V. DWA,lobbyregister_eintrag,2022-09-19
"""""",Abwasserzweckverband Illtal,a_watch_organisation,2022-09-19
"""""",ABW e.V. - Aufbereitung von Baustoffen u. Wiederverwertung e.V. (gegenseitige Mitgliedschaft),lobbyregister_eintrag,2022-09-19
"""""",ACA,lobbyregister_eintrag,2022-09-19
"""""",Academia Europaea,lobbyregister_eintrag,2022-09-19
"""""",ACAM- Aachen Center Additve Manufacturing,lobbyregister_eintrag,2022-09-19
"""""",Acatech,lobbyregister_eintrag,2022-09-19
"""""",Acatech- Akademie der Technikwissenschaften,lobbyregister_eintrag,2022-09-19
"""""",Acatech Akademie der Technikwissenschaften e.V.,lobbyregister_eintrag,2022-09-19
"""""",acatech - Deutsche Akademie der Technikwissenschaften,lobbyregister_eintrag,2022-09-19
"""""",Acatech - Deutsche Akademie für Technikwissenschaften,lobbyregister_eintrag,2022-09-19
"""""",acatech e.V.,lobbyregister_eintrag,2022-09-19
"""""",accelopment Schweiz AG,lobbyregister_eintrag,2022-09-19
"""""",Accentro Real Estate AG,lobbypedia_parteispenden,2022-09-19
"""""",Accenture GmbH,lobbyregister_eintrag,2022-09-19
"""""",Access - Inklusion im Arbeitsleben gemeinnützige GmbH,a_watch_organisation,2022-09-19
"""""",ACCF Air Cargo Community Frankfurt e.V.,lobbyregister_eintrag,2022-09-19
"""""",ACCIS,lobbyregister_eintrag,2022-09-19
"""""",Accon Köln GmbH,lobbypedia_parteispenden,2022-09-19
"""""",Accountability & Participation for 2030 Agenda,lobbyregister_eintrag,2022-09-19
"""""",Accounting Standards Committee of Germany (DRSC),lobbyregister_eintrag,2022-09-19
"""""",Accsys GmbH,lobbyregister_eintrag,2022-09-19
"""""",Accumulata Immobilien Development GmbH,lobbypedia_parteispenden,2022-09-19
"""""",ACE,lobbyregister_eintrag,2022-09-19
"""""",ACE Auto Club Europa e.V.,lobbyregister_eintrag,2022-09-19
"""""",ACEM AiSBL,lobbyregister_eintrag,2022-09-19
"""""",ACEnet - Network of Arts and Cultural Education in Europe,lobbyregister_eintrag,2022-09-19
"""""",ACERA - Asociación Chilena de Energias Renovables y Almacenamiento,lobbyregister_eintrag,2022-09-19
"""""",ACESOL - Asociación Chilena de Energia Solar,lobbyregister_eintrag,2022-09-19
"""""",ACE-Wirtschaftsdienst GmbH,lobbyregister_eintrag,2022-09-19
"""""",ACHAM - American Chamber of Commerce in Germany,lobbyregister_eintrag,2022-09-19
"""""",Achim Klein,lobbyregister_eintrag,2022-09-19
"""""",ACHSE,lobbyregister_eintrag,2022-09-19
"""""",ACHSE. Allianz Chronischer Seltener Erkrankungen,lobbyregister_eintrag,2022-09-19
"""""",ACI (Airports Council International),lobbyregister_eintrag,2022-09-19
"""""",ACI Airports Council International Europe,lobbyregister_eintrag,2022-09-19
"""""",ACI Europe Brüssel,lobbyregister_eintrag,2022-09-19
"""""",ACIIA Association of Certified International Investment Analysts,lobbyregister_eintrag,2022-09-19
"""""",AC Ingenieurbau Verwaltungs AG,lobbypedia_parteispenden,2022-09-19
"""""",ACOD Automotive Cluster Ostdeutschland,lobbyregister_eintrag,2022-09-19
"""""",ACOD e.V.,lobbyregister_eintrag,2022-09-19
"""""",ACT Alliance,lobbyregister_eintrag,2022-09-19
"""""",Active Owners Denmark,lobbyregister_eintrag,2022-09-19
"""""",ACT on Living Wages,lobbyregister_eintrag,2022-09-19
"""""",Actuarial Association of Europe,lobbyregister_eintrag,2022-09-19
"""""",Acura Zahnärzte GmbH,lobbyregister_eintrag,2022-09-19
"""""",ADA,lobbyregister_eintrag,2022-09-19
"""""",ADA - Arbeitgeberverband Deutscher Apotheken e.V.,lobbyregister_eintrag,2022-09-19
"""""",ADA - Arbeitgeberverband Deutscher Apothekeninhaber e.V.,lobbyregister_eintrag,2022-09-19
"""""",ADA - Arbeitgeberverband Deutscher Apotheker e.V.,lobbyregister_eintrag,2022-09-19
"""""",ADAC,lobbyregister_eintrag,2022-09-19
"""""",ADAC e.V.,lobbyregister_eintrag,2022-09-19
"""""",ADAC e. V.,lobbyregister_eintrag,2022-09-19
"""""",ADAC Luftrettung gGmbH,lobbyregister_eintrag,2022-09-19
"""""",ADAC Pfalz e. V.,lobbyregister_eintrag,2022-09-19
"""""","ADAC-Stiftung, München",lobbyregister_eintrag,2022-09-19
"""""",ADAC Württemberg e.V.,lobbyregister_eintrag,2022-09-19
"""""",Ada Health GmbH,lobbyregister_eintrag,2022-09-19
"""""",AdAR - Arbeitskreis deutscher Aufsichtsrat e.V.,lobbyregister_eintrag,2022-09-19
"""""",Adbites GmbH,lobbyregister_eintrag,2022-09-19
