graph_id,aufb_typ,aufb_quelle,aufb_letzte_akt,aufb_bezeichnung,aufb_normalform,aufb_normalform_id,graph_auftraggeber_anzahl
"""""",lobbyregister_client,lobbyregister,2022-08-30,Comventure GmbH,Comventure GmbH,norm_lobbyregister_eintrag_2022-09-19_#0006061,
"""""",lobbyregister_client,lobbyregister,2022-06-27,Concord Blue Engineering GmbH,Concord Blue Engineering GmbH,norm_lobbyregister_eintrag_2022-09-19_#0006072,
"""""",lobbyregister_client,lobbyregister,2022-07-28,Consal Beteiligungsgesellschaft Aktiengesellschaft,Consal Beteiligungsgesellschaft Aktiengesellschaft,norm_lobbyregister_eintrag_2022-09-19_#0006090,
"""""",lobbyregister_client,lobbyregister,2022-08-31,Consentis Anlagenbau GmbH,Consentis Anlagenbau GmbH,norm_lobbyregister_eintrag_2022-09-19_#0006093,
"""""",lobbyregister_client,lobbyregister,2022-02-25,Contec GmbH,Contec GmbH,norm_lobbyregister_eintrag_2022-09-19_#0006100,
"""""",lobbyregister_client,lobbyregister,2022-07-25,CORAT Therapeutics GmbH,CORAT Therapeutics GmbH,norm_lobbyregister_eintrag_2022-09-19_#0006127,
"""""",lobbyregister_client,lobbyregister,2022-05-24,Costa Crociere S.p.A.,Costa Crociere S.p.A.,norm_lobbyregister_eintrag_2022-09-19_#0006147,
"""""",lobbyregister_client,lobbyregister,2022-09-01,Covestro Deutschland AG,Covestro Deutschland AG,norm_lobbyregister_eintrag_2022-09-19_#0006156,
"""""",lobbyregister_client,lobbyregister,2022-09-08,CoviMedical GmbH,CoviMedical GmbH,norm_lobbyregister_eintrag_2022-09-19_#0006157,
"""""",lobbyregister_client,lobbyregister,2022-02-23,Covivio Immobilien SE,Covivio Immobilien SE,norm_lobbyregister_eintrag_2022-09-19_#0006158,
"""""",lobbyregister_client,lobbyregister,2022-09-13,CropLife Europe,CropLife Europe,norm_lobbyregister_eintrag_2022-09-19_#0006177,
"""""",lobbyregister_client,lobbyregister,2022-02-26,Cruise Lines International Association ASBL,Cruise Lines International Association ASBL,norm_lobbyregister_eintrag_2022-09-19_#0006181,
"""""",lobbyregister_client,lobbyregister,2022-06-02,Cryonorm BV,Cryonorm BV,norm_lobbyregister_eintrag_2022-09-19_#0006185,
"""""",lobbyregister_client,lobbyregister,2022-09-02,Cryptshare AG,Cryptshare AG,norm_lobbyregister_eintrag_2022-09-19_#0006186,
"""""",lobbyregister_client,lobbyregister,2022-05-31,CSL Behring GmbH,CSL Behring GmbH,norm_lobbyregister_eintrag_2022-09-19_#0006191,
"""""",lobbyregister_client,lobbyregister,2022-09-15,culture4life GmbH,culture4life GmbH,norm_lobbyregister_eintrag_2022-09-19_#0006202,
"""""",lobbyregister_client,lobbyregister,2022-05-31,CureVac AG,CureVac AG,norm_lobbyregister_eintrag_2022-09-19_#0006206,
"""""",lobbyregister_client,lobbyregister,2022-01-17,d&b audiotechnik GmbH&Co KG,d&b audiotechnik GmbH&Co KG,norm_lobbyregister_eintrag_2022-09-19_#0006227,
"""""",lobbyregister_client,lobbyregister,2022-04-28,Dachverband Anthroposophische Medizin in Deutschland,Dachverband Anthroposophische Medizin in Deutschland,norm_lobbyregister_eintrag_2022-09-19_#0006242,
"""""",lobbyregister_client,lobbyregister,2022-02-28,Dachverband der deutschen Natur-,Dachverband der deutschen Natur-,norm_lobbyregister_eintrag_2022-09-19_#0006248,
"""""",lobbyregister_client,lobbyregister,2022-02-28,Dachverband Norddeutscher Zuckerrübenanbauer e.V.,Dachverband Norddeutscher Zuckerrübenanbauer e.V.,norm_lobbyregister_eintrag_2022-09-19_#0006276,
"""""",lobbyregister_client,lobbyregister,2022-06-29,Daiichi Sankyo Deutschland GmbH,Daiichi Sankyo Deutschland GmbH,norm_lobbypedia_parteispenden_2022-09-19_#0006294,
"""""",lobbyregister_client,lobbyregister,2022-03-17,DAIKIN Airconditioning Germany,DAIKIN Airconditioning Germany,norm_lobbyregister_eintrag_2022-09-19_#0006295,
"""""",lobbyregister_client,lobbyregister,2022-09-13,DAMEN Naval Germany GmbH,DAMEN Naval Germany GmbH,norm_lobbyregister_eintrag_2022-09-19_#0006308,
"""""",lobbyregister_client,lobbyregister,2022-09-13,Damen Naval Holding B.V.,Damen Naval Holding B.V.,norm_lobbyregister_eintrag_2022-09-19_#0006309,
"""""",lobbyregister_client,lobbyregister,2022-09-13,Damen Schelde Naval Shipbuilding B.V.,Damen Schelde Naval Shipbuilding B.V.,norm_lobbyregister_eintrag_2022-09-19_#0006310,
"""""",lobbyregister_client,lobbyregister,2022-04-28,DAMiD,DAMiD,norm_lobbyregister_eintrag_2022-09-19_#0006311,
"""""",lobbyregister_client,lobbyregister,2022-06-02,Danfoss GmbH,Danfoss GmbH,norm_lobbyregister_eintrag_2022-09-19_#0006316,
"""""",lobbyregister_client,lobbyregister,2022-02-28,Danone GmbH,Danone GmbH,norm_lobbyregister_eintrag_2022-09-19_#0006322,
"""""",lobbyregister_client,lobbyregister,2022-02-28,Danone Waters Deutschland GmbH,Danone Waters Deutschland GmbH,norm_lobbyregister_eintrag_2022-09-19_#0006323,
"""""",lobbyregister_client,lobbyregister,2022-08-31,Danpower GmbH,Danpower GmbH,norm_lobbyregister_eintrag_2022-09-19_#0006324,
"""""",lobbyregister_client,lobbyregister,2022-09-16,Dassault Systemes Deutschland GmbH,Dassault Systemes Deutschland GmbH,norm_lobbyregister_eintrag_2022-09-19_#0006346,
"""""",lobbyregister_client,lobbyregister,2022-03-01,Dataminr,Dataminr,norm_lobbyregister_eintrag_2022-09-19_#0006354,
"""""",lobbyregister_client,lobbyregister,2022-08-31,dbds Deutsche Biogas Dach-Systeme GmbH,dbds Deutsche Biogas Dach-Systeme GmbH,norm_lobbyregister_eintrag_2022-09-19_#0006371,
"""""",lobbyregister_client,lobbyregister,2022-01-18,DB Station&Service AG,DB Station&Service AG,norm_a_watch_organisation_2022-09-19_#0006382,
"""""",lobbyregister_client,lobbyregister,2022-04-27,Deere & Company,Deere & Company,norm_lobbyregister_eintrag_2022-09-19_#0006417,
"""""",lobbyregister_client,lobbyregister,2022-02-25,Defenture B.V.,Defenture B.V.,norm_lobbyregister_eintrag_2022-09-19_#0006420,
"""""",lobbyregister_client,lobbyregister,2022-02-28,Dell GmbH,Dell GmbH,norm_lobbyregister_eintrag_2022-09-19_#0006458,
"""""",lobbyregister_client,lobbyregister,2022-08-23,DELL Technologies,DELL Technologies,norm_lobbyregister_eintrag_2022-09-19_#0006460,
"""""",lobbyregister_client,lobbyregister,2022-07-13,Denkfabrik Union der Wirtschaft e.V.,Denkfabrik Union der Wirtschaft e.V.,norm_lobbyregister_eintrag_2022-09-19_#0006495,
"""""",lobbyregister_client,lobbyregister,2022-07-25,DentaDox MVZ GmbH,DentaDox MVZ GmbH,norm_lobbyregister_eintrag_2022-09-19_#0006499,
"""""",lobbyregister_client,lobbyregister,2022-09-16,Deutsche Allianz Meeresforschung,Deutsche Allianz Meeresforschung,norm_lobbyregister_eintrag_2022-09-19_#0006617,
"""""",lobbyregister_client,lobbyregister,2022-03-23,Deutsche Börse AG,Deutsche Börse AG,norm_lobbyregister_eintrag_2022-09-19_#0006656,
"""""",lobbyregister_client,lobbyregister,2022-07-26,Deutsche Energie-Agentur GmbH,Deutsche Energie-Agentur GmbH,norm_lobbyregister_eintrag_2022-09-19_#0006681,
"""""",lobbyregister_client,lobbyregister,2022-07-21,Deutsche Fußball Liga GmbH,Deutsche Fußball Liga GmbH,norm_lobbyregister_eintrag_2022-09-19_#0006707,
"""""",lobbyregister_client,lobbyregister,2022-02-22,Deutsche Gesellschaft für Allergologie und klinische Immunologie (DGAKI) e.V.,Deutsche Gesellschaft für Allergologie und klinische Immunologie (DGAKI) e.V.,norm_lobbyregister_eintrag_2022-09-19_#0006731,
"""""",lobbyregister_client,lobbyregister,2022-05-31,Deutsche Gesellschaft für Integrierte Versorgung im Gesundheitswesen e.V.,Deutsche Gesellschaft für Integrierte Versorgung im Gesundheitswesen e.V.,norm_lobbyregister_eintrag_2022-09-19_#0006812,
"""""",lobbyregister_client,lobbyregister,2022-07-29,Deutsche Gesellschaft für Kardiologie - Herz- und Kreislaufforschung e.V.,Deutsche Gesellschaft für Kardiologie - Herz- und Kreislaufforschung e.V.,norm_lobbyregister_eintrag_2022-09-19_#0006830,
"""""",lobbyregister_client,lobbyregister,2022-02-21,Deutsche Gesellschaft für Mund-,Deutsche Gesellschaft für Mund-,norm_lobbyregister_eintrag_2022-09-19_#0006863,
"""""",lobbyregister_client,lobbyregister,2022-03-06,Deutsche Glasfaser,Deutsche Glasfaser,norm_lobbyregister_eintrag_2022-09-19_#0006985,
"""""",lobbyregister_client,lobbyregister,2022-02-28,Deutsche Kinder- und Jugendstiftung,Deutsche Kinder- und Jugendstiftung,norm_lobbyregister_eintrag_2022-09-19_#0007038,
"""""",lobbyregister_client,lobbyregister,2022-09-08,Deutsche Krankenhausgesellschaft e.V.,Deutsche Krankenhausgesellschaft e.V.,norm_lobbyregister_eintrag_2022-09-19_#0007047,
"""""",lobbyregister_client,lobbyregister,2022-06-02,Deutsche Lufthansa Aktiengesellschaft,Deutsche Lufthansa Aktiengesellschaft,norm_lobbyregister_eintrag_2022-09-19_#0007084,
"""""",lobbyregister_client,lobbyregister,2022-05-02,Deutsche Ophthalmologische Gesellschaft e.V. (DOG),Deutsche Ophthalmologische Gesellschaft e.V. (DOG),norm_lobbyregister_eintrag_2022-09-19_#0007130,
"""""",lobbyregister_client,lobbyregister,2022-06-02,Deutsche Post AG,Deutsche Post AG,norm_lobbyregister_eintrag_2022-09-19_#0007154,
"""""",lobbyregister_client,lobbyregister,2022-06-20,Deutscher Bundesverband der Atem-,Deutscher Bundesverband der Atem-,norm_lobbyregister_eintrag_2022-09-19_#0007264,
"""""",lobbyregister_client,lobbyregister,2022-06-20,Deutscher Bundesverband für akademische Sprachtherapie und Logopädie e.V. (dbs),Deutscher Bundesverband für akademische Sprachtherapie und Logopädie e.V. (dbs),norm_lobbyregister_eintrag_2022-09-19_#0007266,
"""""",lobbyregister_client,lobbyregister,2022-06-20,Deutscher Bundesverband für Logopädie e.V. (dbl),Deutscher Bundesverband für Logopädie e.V. (dbl),norm_lobbyregister_eintrag_2022-09-19_#0007268,
"""""",lobbyregister_client,lobbyregister,2022-02-28,Deutsche Reiterliche Vereinigung e.V. (FN),Deutsche Reiterliche Vereinigung e.V. (FN),norm_lobbyregister_eintrag_2022-09-19_#0007295,
"""""",lobbyregister_client,lobbyregister,2022-05-26,Deutscher Galopp e.V.,Deutscher Galopp e.V.,norm_lobbyregister_eintrag_2022-09-19_#0007372,
"""""",lobbyregister_client,lobbyregister,2022-06-02,Deutscher Großhandelsverband Haustechnik (DG Haustechnik) e.V.,Deutscher Großhandelsverband Haustechnik (DG Haustechnik) e.V.,norm_lobbyregister_eintrag_2022-09-19_#0007383,
"""""",lobbyregister_client,lobbyregister,2022-05-16,Deutscher Hebammenverband e.V.,Deutscher Hebammenverband e.V.,norm_lobbyregister_eintrag_2022-09-19_#0007393,
"""""",lobbyregister_client,lobbyregister,2022-06-15,Deutscher Kartoffelhandelsverband (e.V.) (DKHV),Deutscher Kartoffelhandelsverband (e.V.) (DKHV),norm_lobbyregister_eintrag_2022-09-19_#0007450,
"""""",lobbyregister_client,lobbyregister,2022-02-28,Deutscher Mieterbund e.V.,Deutscher Mieterbund e.V.,norm_lobbyregister_eintrag_2022-09-19_#0007487,
"""""",lobbyregister_client,lobbyregister,2022-02-28,Deutscher Naturschutzring,Deutscher Naturschutzring,norm_lobbyregister_eintrag_2022-09-19_#0007507,
"""""",lobbyregister_client,lobbyregister,2022-08-31,DEUTSCHE ROCKWOOL GmbH & Co. KG,DEUTSCHE ROCKWOOL GmbH & Co. KG,norm_a_watch_organisation_2022-09-19_#0007523,
"""""",lobbyregister_client,lobbyregister,2022-09-15,Deutscher Online Casinoverband e. V.,Deutscher Online Casinoverband e. V.,norm_lobbyregister_eintrag_2022-09-19_#0007536,
"""""",lobbyregister_client,lobbyregister,2022-05-16,Deutscher Pflegerat e.V.,Deutscher Pflegerat e.V.,norm_lobbyregister_eintrag_2022-09-19_#0007559,
"""""",lobbyregister_client,lobbyregister,2022-05-17,Deutscher Sportwettenverband e. V.,Deutscher Sportwettenverband e. V.,norm_lobbyregister_eintrag_2022-09-19_#0007621,
"""""",lobbyregister_client,lobbyregister,2022-09-13,Deutscher Verband der Spielwarenindustrie e.V.,Deutscher Verband der Spielwarenindustrie e.V.,norm_lobbyregister_eintrag_2022-09-19_#0007658,
"""""",lobbyregister_client,lobbyregister,2022-06-02,Deutsche Shell Holding GmbH,Deutsche Shell Holding GmbH,norm_lobbyregister_eintrag_2022-09-19_#0007814,
"""""",lobbyregister_client,lobbyregister,2022-02-03,Deutsches Netzwerk gegen Vernachlässigte Tropenkrankheiten e.V.,Deutsches Netzwerk gegen Vernachlässigte Tropenkrankheiten e.V.,norm_lobbyregister_eintrag_2022-09-19_#0007936,
"""""",lobbyregister_client,lobbyregister,2022-03-03,Deutsche Stiftung Organtransplantation,Deutsche Stiftung Organtransplantation,norm_lobbyregister_eintrag_2022-09-19_#0008015,
"""""",lobbyregister_client,lobbyregister,2022-07-20,Deutsche Telekom AG,Deutsche Telekom AG,norm_a_watch_organisation_2022-09-19_#0008051,
"""""",lobbyregister_client,lobbyregister,2022-02-28,Deutsche Umwelthilfe e.V.,Deutsche Umwelthilfe e.V.,norm_lobbyregister_eintrag_2022-09-19_#0008061,
"""""",lobbyregister_client,lobbyregister,2022-02-28,Deutsche Unternehmensinitiative Energieeffizienz e.V. (DENEFF),Deutsche Unternehmensinitiative Energieeffizienz e.V. (DENEFF),norm_a_watch_organisation_2022-09-19_#0008068,
"""""",lobbyregister_client,lobbyregister,2022-09-15,Deutsche Wohnen SE,Deutsche Wohnen SE,norm_lobbyregister_eintrag_2022-09-19_#0008137,
"""""",lobbyregister_client,lobbyregister,2022-07-01,Deutsch-israelische Juristenvereinigung,Deutsch-israelische Juristenvereinigung,norm_lobbyregister_eintrag_2022-09-19_#0008180,
"""""",lobbyregister_client,lobbyregister,2022-08-09,Deutsch-Russische Auslandshandelskammer,Deutsch-Russische Auslandshandelskammer,norm_lobbyregister_eintrag_2022-09-19_#0008233,
"""""",lobbyregister_client,lobbyregister,2022-09-13,DEUTZ AG,DEUTZ AG,norm_lobbyregister_eintrag_2022-09-19_#0008266,
"""""",lobbyregister_client,lobbyregister,2022-03-02,DFL Deutsche Fußball Liga e.V.,DFL Deutsche Fußball Liga e.V.,norm_lobbyregister_eintrag_2022-09-19_#0008289,
"""""",lobbyregister_client,lobbyregister,2022-09-01,DGRV - Deutscher Genossenschafts- und Raiffeisenverband e.V.,DGRV - Deutscher Genossenschafts- und Raiffeisenverband e.V.,norm_lobbyregister_eintrag_2022-09-19_#0008357,
"""""",lobbyregister_client,lobbyregister,2022-09-08,Diageo Germany GmbH,Diageo Germany GmbH,norm_lobbyregister_eintrag_2022-09-19_#0008387,
"""""",lobbyregister_client,lobbyregister,2022-06-02,Dichtungstechnik Wallstabe & Schneider GmbH & Co KG,Dichtungstechnik Wallstabe & Schneider GmbH & Co KG,norm_lobbyregister_eintrag_2022-09-19_#0008421,
"""""",lobbyregister_client,lobbyregister,2022-05-16,Die Chinesische Handelskammer in Deutschland e. V. (CHKD),Die Chinesische Handelskammer in Deutschland e. V. (CHKD),norm_lobbyregister_eintrag_2022-09-19_#0008440,
"""""",lobbyregister_client,lobbyregister,2022-03-22,Die Himmelsschreiber,Die Himmelsschreiber,norm_lobbyregister_eintrag_2022-09-19_#0008466,
"""""",lobbyregister_client,lobbyregister,2022-06-02,DIGITAL renewable GmbH,DIGITAL renewable GmbH,norm_lobbyregister_eintrag_2022-09-19_#0008531,
"""""",lobbyregister_client,lobbyregister,2022-06-02,DIS Dräxlmaier Industrial Solutions GmbH,DIS Dräxlmaier Industrial Solutions GmbH,norm_lobbyregister_eintrag_2022-09-19_#0008601,
"""""",lobbyregister_client,lobbyregister,2022-02-23,Distrimex GmbH,Distrimex GmbH,norm_lobbyregister_eintrag_2022-09-19_#0008602,
"""""",lobbyregister_client,lobbyregister,2022-08-15,DJI Europe,DJI Europe,norm_lobbyregister_eintrag_2022-09-19_#0008614,
"""""",lobbyregister_client,lobbyregister,2022-04-26,DJI GmbH,DJI GmbH,norm_lobbyregister_eintrag_2022-09-19_#0008615,
"""""",lobbyregister_client,lobbyregister,2022-09-16,DJK-Sportverband,DJK-Sportverband,norm_lobbyregister_eintrag_2022-09-19_#0008617,
"""""",lobbyregister_client,lobbyregister,2022-08-31,DKV EURO SERVICE GmbH & Co. KG,DKV EURO SERVICE GmbH & Co. KG,norm_lobbyregister_eintrag_2022-09-19_#0008640,
"""""",lobbyregister_client,lobbyregister,2022-06-02,DLG Service GmbH,DLG Service GmbH,norm_lobbyregister_eintrag_2022-09-19_#0008647,
"""""",lobbyregister_client,lobbyregister,2022-09-14,DMK Deutsches Milchkontor GmbH,DMK Deutsches Milchkontor GmbH,norm_lobbyregister_eintrag_2022-09-19_#0008662,
"""""",lobbyregister_client,lobbyregister,2022-07-20,DocMorris N.V.,DocMorris N.V.,norm_lobbyregister_eintrag_2022-09-19_#0008684,
"""""",lobbyregister_client,lobbyregister,2022-08-30,DocMorris Services B.V.,DocMorris Services B.V.,norm_lobbyregister_eintrag_2022-09-19_#0008685,
"""""",lobbyregister_client,lobbyregister,2022-03-05,Doctolib GmbH,Doctolib GmbH,norm_lobbyregister_eintrag_2022-09-19_#0008688,
"""""",lobbyregister_client,lobbyregister,2022-07-04,Doctor Placement GmbH,Doctor Placement GmbH,norm_lobbyregister_eintrag_2022-09-19_#0008689,
"""""",lobbyregister_client,lobbyregister,2022-03-23,Domicil Real Estate AG,Domicil Real Estate AG,norm_lobbyregister_eintrag_2022-09-19_#0008698,
"""""",lobbyregister_client,lobbyregister,2022-06-30,Donaukraftwerk Jochenstein AG,Donaukraftwerk Jochenstein AG,norm_lobbyregister_eintrag_2022-09-19_#0008706,
"""""",lobbyregister_client,lobbyregister,2022-06-30,Donaukraftwerk Jochenstein Aktiengesellschaft,Donaukraftwerk Jochenstein Aktiengesellschaft,norm_lobbyregister_eintrag_2022-09-19_#0008707,
"""""",lobbyregister_client,lobbyregister,2022-05-17,Donautal Geflügelspezialitäten ZN Lohmann & Co. AG,Donautal Geflügelspezialitäten ZN Lohmann & Co. AG,norm_lobbyregister_eintrag_2022-09-19_#0008711,
"""""",lobbyregister_client,lobbyregister,2022-02-28,Dow Olefinverbund GmbH,Dow Olefinverbund GmbH,norm_lobbyregister_eintrag_2022-09-19_#0008741,
"""""",lobbyregister_client,lobbyregister,2022-08-31,Dr. Frankenheim Rechtsanwaltsgesellschaft mbH,Dr. Frankenheim Rechtsanwaltsgesellschaft mbH,norm_lobbyregister_eintrag_2022-09-19_#0008762,
"""""",lobbyregister_client,lobbyregister,2022-05-17,Dr. Hönle AG,Dr. Hönle AG,norm_lobbyregister_eintrag_2022-09-19_#0008768,
"""""",lobbyregister_client,lobbyregister,2022-07-29,Dr. Schumacher GmbH,Dr. Schumacher GmbH,norm_lobbyregister_eintrag_2022-09-19_#0008787,
"""""",lobbyregister_client,lobbyregister,2022-03-03,Dr. Willmar Schwabe GmbH & Co.KG,Dr. Willmar Schwabe GmbH & Co.KG,norm_lobbyregister_eintrag_2022-09-19_#0008790,
"""""",lobbyregister_client,lobbyregister,2022-03-09,Dresden,Dresden,norm_lobbyregister_eintrag_2022-09-19_#0008801,
"""""",lobbyregister_client,lobbyregister,2022-04-08,DriveLock,DriveLock,norm_lobbyregister_eintrag_2022-09-19_#0008809,
"""""",lobbyregister_client,lobbyregister,2022-09-14,Dropbox Germany GmbH,Dropbox Germany GmbH,norm_lobbyregister_eintrag_2022-09-19_#0008824,
"""""",lobbyregister_client,lobbyregister,2022-09-07,DSV A/S,DSV A/S,norm_lobbyregister_eintrag_2022-09-19_#0008854,
"""""",lobbyregister_client,lobbyregister,2022-09-15,DuPont Deutschland Holding Gmbh & Co. KG,DuPont Deutschland Holding Gmbh & Co. KG,norm_lobbyregister_eintrag_2022-09-19_#0008894,
"""""",lobbyregister_client,lobbyregister,2022-02-28,Dussmann Stiftung & Co. KG,Dussmann Stiftung & Co. KG,norm_lobbyregister_eintrag_2022-09-19_#0008904,
"""""",lobbyregister_client,lobbyregister,2022-06-02,DVGW Deutscher Verein des Gas- und Wasserfaches e.V. - Technisch-wissenschaftlicher Verein,DVGW Deutscher Verein des Gas- und Wasserfaches e.V. - Technisch-wissenschaftlicher Verein,norm_lobbyregister_eintrag_2022-09-19_#0008922,
"""""",lobbyregister_client,lobbyregister,2022-06-15,DWS Alternative Global Limited,DWS Alternative Global Limited,norm_lobbyregister_eintrag_2022-09-19_#0008955,
"""""",lobbyregister_client,lobbyregister,2022-02-25,Dynamit Nobel Defence GmbH,Dynamit Nobel Defence GmbH,norm_lobbyregister_eintrag_2022-09-19_#0008964,
"""""",lobbyregister_client,lobbyregister,2022-02-28,E.DIS Netz GmbH,E.DIS Netz GmbH,norm_lobbyregister_eintrag_2022-09-19_#0008979,
"""""",lobbyregister_client,lobbyregister,2022-06-02,E.ON Bioerdgas GmbH,E.ON Bioerdgas GmbH,norm_lobbyregister_eintrag_2022-09-19_#0008982,
"""""",lobbyregister_client,lobbyregister,2022-06-02,E.ON SE,E.ON SE,norm_lobbyregister_eintrag_2022-09-19_#0008983,
"""""",lobbyregister_client,lobbyregister,2022-03-17,e2m Energy2market,e2m Energy2market,norm_lobbyregister_eintrag_2022-09-19_#0008986,
"""""",lobbyregister_client,lobbyregister,2022-09-16,easyJet Europe Airline GmbH,easyJet Europe Airline GmbH,norm_lobbyregister_eintrag_2022-09-19_#0009004,
"""""",lobbyregister_client,lobbyregister,2022-09-16,Eaton Electric GmbH,Eaton Electric GmbH,norm_lobbyregister_eintrag_2022-09-19_#0009006,
"""""",lobbyregister_client,lobbyregister,2022-03-22,eBay GmbH,eBay GmbH,norm_lobbyregister_eintrag_2022-09-19_#0009009,
"""""",lobbyregister_client,lobbyregister,2022-08-31,eBay Kleinanzeigen GmbH,eBay Kleinanzeigen GmbH,norm_lobbyregister_eintrag_2022-09-19_#0009010,
"""""",lobbyregister_client,lobbyregister,2022-04-05,Ecclesia Holding,Ecclesia Holding,norm_lobbyregister_eintrag_2022-09-19_#0009033,
"""""",lobbyregister_client,lobbyregister,2022-06-22,ECE Marketplaces GmbH & Co. KG,ECE Marketplaces GmbH & Co. KG,norm_lobbyregister_eintrag_2022-09-19_#0009040,
"""""",lobbyregister_client,lobbyregister,2022-06-22,ECE Work & Live GmbH & Co. KG,ECE Work & Live GmbH & Co. KG,norm_lobbyregister_eintrag_2022-09-19_#0009042,
"""""",lobbyregister_client,lobbyregister,2022-01-28,Eckiger Tisch Bonn Verein Geschädigter des Aloisiuskollegs e.V.,Eckiger Tisch Bonn Verein Geschädigter des Aloisiuskollegs e.V.,norm_lobbyregister_eintrag_2022-09-19_#0009051,
"""""",lobbyregister_client,lobbyregister,2022-02-25,Ecosia,Ecosia,norm_lobbyregister_eintrag_2022-09-19_#0009082,
"""""",lobbyregister_client,lobbyregister,2022-09-01,EDEKA Zentrale Stiftung & Co. KG,EDEKA Zentrale Stiftung & Co. KG,norm_lobbyregister_eintrag_2022-09-19_#0009121,
"""""",lobbyregister_client,lobbyregister,2022-07-25,EDG Deutschland Service GmbH,EDG Deutschland Service GmbH,norm_lobbyregister_eintrag_2022-09-19_#0009126,
"""""",lobbyregister_client,lobbyregister,2022-07-07,Edis Netz GmbH,Edis Netz GmbH,norm_lobbyregister_eintrag_2022-09-19_#0009129,
"""""",lobbyregister_client,lobbyregister,2022-02-07,edna Bundesverband Energiemarkt & Kommunikation e.V.,edna Bundesverband Energiemarkt & Kommunikation e.V.,norm_lobbyregister_eintrag_2022-09-19_#0009132,
"""""",lobbyregister_client,lobbyregister,2022-07-21,Edwards Lifesciences Services GmbH,Edwards Lifesciences Services GmbH,norm_lobbyregister_eintrag_2022-09-19_#0009136,
"""""",lobbyregister_client,lobbyregister,2022-07-29,Edwards Lifesciences Sevices GmbH,Edwards Lifesciences Sevices GmbH,norm_lobbyregister_eintrag_2022-09-19_#0009137,
"""""",lobbyregister_client,lobbyregister,2022-06-15,EEW EnergyfromWaste,EEW EnergyfromWaste,norm_lobbyregister_eintrag_2022-09-19_#0009149,
"""""",lobbyregister_client,lobbyregister,2022-09-15,eFuel Alliance e.V.,eFuel Alliance e.V.,norm_lobbyregister_eintrag_2022-09-19_#0009186,
"""""",lobbyregister_client,lobbyregister,2022-08-30,eHealth-Tec GmbH,eHealth-Tec GmbH,norm_lobbyregister_eintrag_2022-09-19_#0009201,
"""""",lobbyregister_client,lobbyregister,2022-02-11,EIT Health eV,EIT Health eV,norm_lobbyregister_eintrag_2022-09-19_#0009277,
"""""",lobbyregister_client,lobbyregister,2022-06-23,eiwigk - Europäisches Institut für wissenschaftliche Gesundheitskybernetik,eiwigk - Europäisches Institut für wissenschaftliche Gesundheitskybernetik,norm_lobbyregister_eintrag_2022-09-19_#0009284,
"""""",lobbyregister_client,lobbyregister,2022-07-07,Elbenergie GmbH,Elbenergie GmbH,norm_lobbyregister_eintrag_2022-09-19_#0009298,
"""""",lobbyregister_client,lobbyregister,2022-08-31,Elemco GmbH,Elemco GmbH,norm_lobbyregister_eintrag_2022-09-19_#0009321,
"""""",lobbyregister_client,lobbyregister,2022-06-02,ELIA Transmission Belgium,ELIA Transmission Belgium,norm_lobbyregister_eintrag_2022-09-19_#0009326,
"""""",lobbyregister_client,lobbyregister,2022-08-25,Emergent BioSolutions Inc.,Emergent BioSolutions Inc.,norm_lobbyregister_eintrag_2022-09-19_#0009347,
"""""",lobbyregister_client,lobbyregister,2022-08-15,Emergent Inc.,Emergent Inc.,norm_lobbyregister_eintrag_2022-09-19_#0009348,
"""""",lobbyregister_client,lobbyregister,2022-04-28,Emirates Airline,Emirates Airline,norm_lobbyregister_eintrag_2022-09-19_#0009352,
"""""",lobbyregister_client,lobbyregister,2022-08-31,Emission Partner GmbH & Co. KG,Emission Partner GmbH & Co. KG,norm_lobbyregister_eintrag_2022-09-19_#0009354,
"""""",lobbyregister_client,lobbyregister,2022-09-16,EMobG Services Germany GmbH (Europcar Mobility Group Germany),EMobG Services Germany GmbH (Europcar Mobility Group Germany),norm_lobbyregister_eintrag_2022-09-19_#0009362,
"""""",lobbyregister_client,lobbyregister,2022-06-21,Empolis Information Management GmbH,Empolis Information Management GmbH,norm_lobbyregister_eintrag_2022-09-19_#0009364,
"""""",lobbyregister_client,lobbyregister,2022-05-17,Emsland Frischgeflügel GmbH,Emsland Frischgeflügel GmbH,norm_lobbyregister_eintrag_2022-09-19_#0009370,
"""""",lobbyregister_client,lobbyregister,2022-08-09,emTransit GmbH,emTransit GmbH,norm_lobbyregister_eintrag_2022-09-19_#0009372,
"""""",lobbyregister_client,lobbyregister,2022-05-23,EnBW AG,EnBW AG,norm_lobbyregister_eintrag_2022-09-19_#0009375,
"""""",lobbyregister_client,lobbyregister,2022-06-02,EnBW Energie Baden-Württemberg AG,EnBW Energie Baden-Württemberg AG,norm_lobbyregister_eintrag_2022-09-19_#0009376,
"""""",lobbyregister_client,lobbyregister,2022-08-31,energethik ingenieurgesellschaft mbH,energethik ingenieurgesellschaft mbH,norm_lobbyregister_eintrag_2022-09-19_#0009385,
"""""",lobbyregister_client,lobbyregister,2022-08-31,energie hoch 5 gmbh,energie hoch 5 gmbh,norm_lobbyregister_eintrag_2022-09-19_#0009403,
"""""",lobbyregister_client,lobbyregister,2022-06-02,Energie und Mobilität e.V.,Energie und Mobilität e.V.,norm_lobbyregister_eintrag_2022-09-19_#0009415,
